slug,company,program,category,status,verification_level,benefit_type,benefit_summary,amount_is_published,amount_max,currency,duration_months,partner_gate,funding_required,accelerator_required,open_to_bootstrapped,requires_vc_backing,funding_min_usd,funding_max_usd,company_age_max_years,application_mechanism,requires_sales_call,regions,excluded_regions,regions_basis,apply_url,official_source,last_verified,verified_by
assemblyai-startup-program,AssemblyAI,Startup Program,ai,active-amount-undisclosed,verified,credit,"Twelve months of recurring monthly credits toward AssemblyAI speech APIs for early-stage teams building voice or audio products, with discounted pricing continuing afterwards.",False,,,12,improves-offer,False,,True,False,,,,self-serve-form,,,,unstated,https://www.assemblyai.com/contact/startup-program/apply,https://www.assemblyai.com/contact/startup-program,2026-09-16,tayyabakmal1
atlassian-for-startups,Atlassian,Atlassian for Startups,productivity,active-self-serve,verified,free-plan,"Premium editions of Atlassian Cloud products at $0 for 12 months for up to 50 users, with Jira Product Discovery limited to 10 creator seats and unlimited contributors.",False,,,12,required-soft,,,,,,10000000,,self-serve-form,,,,unstated,https://www.atlassian.com/software/views/startups-request,https://www.atlassian.com/software/startups,2026-09-14,tayyabakmal1
attio-startup-program,Attio,Startup Program,crm,active-self-serve,verified,discount,"80% off the annual Pro plan plus credits in year one and 30% off in year two, for workspaces of up to 10 seats, with dedicated onboarding and third-party perks (3 months of Linear, 6 months of Notion).",False,,,12,required-soft,True,,False,True,,,10,self-serve-form,,,,unstated,https://attio.com/startups,https://attio.com/startups,2026-09-16,tayyabakmal1
aws-activate-portfolio,AWS,AWS Activate Credits,ecosystem,active-partner-only,verified,credit,"AWS promotional credits by tier: up to $200,000 for pre-Series B startups applying with an Activate Provider's Org ID (Activate Portfolio), up to $5,000 for self-funded founders, and an invite-only AI tier above that.",True,200000,USD,,tiered,,,True,,,,10,self-serve-form,,,,unstated,https://aws.amazon.com/startups/join?destination=/credits/apply,https://aws.amazon.com/startups/credits/,2026-09-14,tayyabakmal1
aws-activate,Amazon Web Services,AWS Activate,cloud,active-self-serve,verified,credit,"Tiered AWS credits: up to $5,000 USD for self-funded founders applying directly, and up to $200,000 USD for pre-Series B startups holding an Org ID from an Activate Provider.",True,200000,USD,,tiered,,,True,False,,,10,self-serve-form,False,,,unstated,https://aws.amazon.com/startups/credits,https://aws.amazon.com/startups/,2026-09-14,tayyabakmal1
baseten-ai-startup-program,Baseten,Baseten AI Startup Program,ai,active-self-serve,verified,credit,"Two separate credit pools: up to $25,000 for Dedicated Inference or Training and up to $2,500 for Model APIs, plus priority support and GTM consulting.",True,25000,USD,,none,True,,,,,,5,self-serve-form,,,,unstated,https://www.baseten.co/talk-to-us/startup-program,https://www.baseten.co/startup-program/,2026-09-14,tayyabakmal1
brevo-startups-and-vcs-program,Brevo,Startups and VCs program,marketing,active-partner-only,verified,discount,"A partner program for accelerators and VCs that gives their portfolio companies unspecified discounts on Brevo, plus integrations and dedicated support. No discount percentage or amount is published.",False,,,,required-hard,,,,,,,,self-serve-form,,,,unstated,https://www.brevo.com/partners/startups/,https://www.brevo.com/partners/startups/,2026-09-14,tayyabakmal1
brex-for-startups,Brex,Brex for startups,finance,active-self-serve,verified,bundle,"Brex cardholders get a catalogue of third-party partner perks, headlined on the startups page as ""Over $350K in discounts and credits on AI and SaaS"". The figure is stated as a floor, not a cap, so no maximum is recorded. A named subset is the ""Day Zero Stack"".",True,,,,none,,,,,,,,in-product,,,,unstated,https://www.brex.com/solutions/startups,https://www.brex.com/solutions/startups,2026-09-16,tayyabakmal1
carta-launch,Carta,Carta Launch,finance,unverified,needs-manual-verification,free-plan,A free Carta cap table platform tier for startups that have raised less than $1M and have 25 stakeholders or fewer.,False,,,,none,,,,,,1000000,,self-serve-form,,,,unstated,https://carta.com/equity-management/launch/,https://support.carta.com/kb/guide/en/frequently-asked-questions-about-carta-launch-qZhwW88UXI/Steps/3707441,2026-09-16,tayyabakmal1
circleci-startup-program,CircleCI,Startup program,devtools,active-self-serve,verified,credit,"Up to $20,000 in free compute credits and up to 24 months of use, plus free Starter Support (stated as valued at $249 per month) and guided onboarding. Credit amount and promotional period vary by startup stage and location.",True,20000,USD,24,required-soft,,False,False,,500000,,5,self-serve-form,,,,unstated,https://circleci.com/startup-program,https://circleci.com/startup-program,2026-09-14,tayyabakmal1
civo-startup-program,Civo,Civo Startup Program,cloud,active-self-serve,verified,credit,"Three-stage cloud credit program offering up to $1,000 (Launchpad), up to $10,000 (Propel) or up to $50,000 (Elevate) in Civo credits, with technical support and community access; the program runs 6-12 months depending on stage.",True,50000,USD,,,,,,,,,,self-serve-form,,,,unstated,https://www.civo.com/startup-program#contact,https://www.civo.com/startup-program,2026-09-14,tayyabakmal1
clay-wedge,Clay,Clay Wedge,crm,active-amount-undisclosed,verified,credit,Two-week live and async GTM accelerator cohort for pre-seed to Series A venture-backed startups; participants earn Clay credits as they progress through the programme. No credit amount is published.,False,,,,improves-offer,True,,False,True,,,,self-serve-form,,global,,asserted,https://cohorts.clay.com/wedge,https://www.clay.com/clay-for-startups,2026-09-16,tayyabakmal1
clerk-for-startups,Clerk,Clerk for Startups,devtools,active-amount-undisclosed,verified,discount,"An unspecified discount on Clerk Pro features for approved early-stage startups, on top of the standard free allowance of 50,000 monthly retained users and 100 monthly retained organizations.",False,,,,none,,,,,,5000000,1,self-serve-form,,,,unstated,https://clerk.com/startups,https://clerk.com/startups,2026-09-16,tayyabakmal1
clerky-perks,Clerky,Perks,ecosystem,active-self-serve,verified,bundle,"Clerky customers get access to a catalogue of third-party startup perks, surfaced in the Perks and Banking tabs of the team dashboard. Clerky publishes no discount on its own legal products.",False,,,,none,,,,,,,,in-product,False,,,unstated,https://www.clerky.com/,https://help.clerky.com/article/2970-perks,2026-09-16,tayyabakmal1
clickhouse-startup-offer,ClickHouse,ClickHouse Startup Offer,databases,active-partner-only,verified,credit,"$5,000 in ClickHouse Cloud credits valid for 12 months plus ClickHouse Basic Support, available only to startups affiliated with a selected accelerator, incubator or VC partner who supply a verification code.",True,5000,USD,12,required-hard,,,,,,,3,partner-code,,,,unstated,https://clickhouse.com/startup-offer,https://clickhouse.com/startup-offer,2026-09-14,tayyabakmal1
clickup-for-startups,ClickUp,ClickUp for Startups,productivity,active-partner-only,verified,credit,"$3,000 in ClickUp credit plus an upgraded Enterprise workspace and onboarding resources, for startups affiliated with an approved ClickUp funding partner.",True,3000,USD,,required-hard,,,,,,,5,self-serve-form,,,,unstated,https://clickup.com/startup-program,https://clickup.com/startup-program,2026-09-14,tayyabakmal1
close-for-startups,Close,Close for Startups,crm,active-partner-only,verified,discount,"A startup-friendly deal on Close distributed through accelerator, incubator and startup-community perks marketplaces. No discount percentage, credit amount or duration is published.",False,,,,required-hard,,,,,,,,partner-code,,,,unstated,https://close.com/partners,https://close.com/partners,2026-09-16,tayyabakmal1
cloudflare-for-startups,Cloudflare,Cloudflare for Startups,cloud,active-self-serve,verified,credit,"Enterprise-level Cloudflare credits in three tiers keyed to how much the startup has raised: $10k, $100k or $350k. Credits are valid for one year or until fully consumed. Tiers 1 and 2 require funding from an affiliated partner.",True,350000,USD,12,tiered,,,True,,,,10,self-serve-form,False,,,unstated,https://www.cloudflare.com/forstartups/,https://www.cloudflare.com/forstartups/,2026-09-14,tayyabakmal1
coda-startup-discount,Coda,Apply for startup discount,productivity,unverified,verified,free-plan,"Six months of the Coda Team plan free, plus startup-specific templates; unlimited Coda AI is included only for startups that apply through a Coda partner.",False,,,6,improves-offer,,,,,,10000000,5,self-serve-form,,,,unstated,https://coda.io/form/Apply-for-6-months-free-for-startups_dhHeEqGp3E0,https://coda.io/solutions/team-size/startups/apply-startup-credit,2026-09-14,tayyabakmal1
cohere-startup-program,Cohere,Cohere Startup Program,ai,unverified,needs-manual-verification,discount,"Cohere publishes a Startup Program page and a separate application page, but no benefit, amount, discount percentage or eligibility rule could be read from either; the program's terms are unconfirmed.",False,,,,,,,,,,,,,,,,unstated,https://cohere.com/startup-program-application,https://cohere.com/startup-program,2026-09-16,tayyabakmal1
crisp-startup-program,Crisp,Startup Program,support,unverified,needs-manual-verification,discount,"A 30% discount code applied to an eligible subscription on the Essentials or Plus plan, reviewed manually by the Crisp team; stated to remain attached to the subscription rather than expiring after a trial period.",False,,,,none,,,,,,1000000,3,,,,,unstated,https://help.crisp.chat/en/article/how-to-apply-to-the-startup-program-lyfxt4/,https://help.crisp.chat/en/article/how-to-apply-to-the-startup-program-lyfxt4/,2026-09-16,tayyabakmal1
customer-io-startup-program,Customer.io,Startup Program,marketing,active-self-serve,verified,free-plan,"Up to 12 months of Customer.io at $0, including up to 30,000 customer profiles, on a Startup plan that carries all Essentials features.",False,,,12,none,,,,,,10000000,,self-serve-form,,,,unstated,https://fly.customer.io/signup?signupType=startup,https://customer.io/solutions/startups,2026-09-16,tayyabakmal1
databricks-for-startups,Databricks,Databricks for Startups,databases,active-self-serve,verified,credit,"Up to $200K in credits split across Databricks and Neon, plus technical guidance and go-to-market access. Credit duration is not published.",True,200000,USD,,none,,,,,,,,self-serve-form,False,,,unstated,https://www.databricks.com/product/startups,https://www.databricks.com/product/startups,2026-09-14,tayyabakmal1
datadog-for-startups,Datadog,Datadog for Startups,devtools,active-partner-only,verified,credit,"Up to $100k in credits covering up to a year of free Datadog Pro across the full platform, for Series A or earlier companies referred by an official Datadog partner.",True,100000,USD,12,required-hard,,,,,,,,partner-code,False,,,unstated,https://www.datadoghq.com/partner/datadog-for-startups/,https://www.datadoghq.com/partner/datadog-for-startups/,2026-09-14,tayyabakmal1
datastax-for-startups,DataStax (IBM),DataStax Startup Program,databases,unverified,needs-manual-verification,credit,"No reachable DataStax startup program page exists. Every former startup-program URL either 404s or cross-domain redirects to IBM's DataStax product page, which contains no startup program, eligibility or credit offer.",False,,,,,,,,,,,,,,,,unstated,https://www.datastax.com/datastax-enterprise-for-startups/startup-program-faq,https://www.datastax.com/datastax-enterprise-for-startups/startup-program-faq,2026-09-14,tayyabakmal1
deel-for-startups,Deel,Deel for startups,hr,active-sales-gated,verified,bundle,"A 'Startup pricing bundle' with two published components: free U.S. payroll for founders for life, and the first 5 seats free for life for venture-backed startups that have raised at least $500k.",False,,,,none,,,,,,,,sales-call,,,,unstated,https://www.deel.com/segments/startups/,https://www.deel.com/segments/startups/,2026-09-14,tayyabakmal1
deepgram-startup-program,Deepgram,Deepgram for Startups,ai,active-self-serve,verified,credit,"Up to $100,000 in Deepgram API credits usable within 12 months; direct applicants start at a $1,000 tier with upgrades, and partner-referred applicants may receive a different offer.",True,100000,USD,12,improves-offer,,,,,,,,self-serve-form,,,,unstated,https://deepgram.com/startup-program,https://deepgram.com/startup-program,2026-09-14,tayyabakmal1
digitalocean-startups,DigitalOcean,DigitalOcean Startups,cloud,active-amount-undisclosed,verified,credit,"12 months of DigitalOcean credits set per startup by the approving partner, plus 15 months of free Standard-tier support. Participants generally have a $10,000 monthly credit usage limit.",False,,,12,improves-offer,,False,True,False,,10000000,,self-serve-form,,,,unstated,https://sammydigitalocean.typeform.com/hatch,https://www.digitalocean.com/startups,2026-09-16,tayyabakmal1
drata-for-startups,Drata,Drata for Startups,security,active-sales-gated,verified,discount,"25% off a startup's first Drata contract, presented on a Drata-hosted landing page whose only call to action is a demo request; no eligibility criteria, duration or region terms are published.",False,,,,,,,,,,,,sales-call,,,,unstated,https://try.drata.com/dfs,https://try.drata.com/dfs,2026-09-16,tayyabakmal1
elevenlabs-grants,ElevenLabs,ElevenLabs Grants,ai,active-self-serve,verified,usage-allowance,"Scale plan for 12 months with 33,000,000 characters, which the page describes as over 680 hours of Agents usage and more than $5,500+ in value. Converts to the Free plan at the end of the term.",True,5500,USD,12,none,,,,,,,,self-serve-form,False,,,unstated,https://elevenlabs.io/grants,https://elevenlabs.io/startup-grants,2026-09-14,tayyabakmal1
fireworks-ai-startup-program,Fireworks AI,Fireworks for Startups,ai,active-amount-undisclosed,verified,credit,"Credits for eligible venture-backed startups, expiring one year after joining, usable for inference, image generation, speech-to-text, embeddings, fine-tuning and on-demand GPU deployments. No credit amount is published.",False,,,12,,True,,False,True,500000,,5,self-serve-form,,,,unstated,https://fireworks.ai/startups,https://fireworks.ai/startups,2026-09-16,tayyabakmal1
firstbase-rewards,Firstbase,Firstbase Rewards,ecosystem,active-self-serve,verified,bundle,"A catalogue of third-party partner perks (e.g. AWS, Deepgram, Snowflake, Deel, Zoho) that Firstbase states is worth over $350,000 in aggregate; each perk has its own separate terms and there is no single per-company credit.",True,,,,,,,,,,,,,,,,unstated,https://www.firstbase.io/rewards,https://www.firstbase.io/rewards,2026-09-16,tayyabakmal1
fivetran-startup-program,Fivetran,Fivetran Startup Program,analytics,active-partner-only,verified,credit,"$50,000 of free Fivetran usage on the Standard plan over 12 months, plus complimentary technical support, for Y Combinator companies with 50 or fewer employees that are not current or former Fivetran customers.",True,50000,USD,12,required-hard,,True,,,,,,self-serve-form,,,,unstated,https://www.fivetran.com/pricing/startups,https://www.fivetran.com/pricing/startups,2026-09-14,tayyabakmal1
framer-startups-program,Framer,Framer startups program,design,active-partner-only,verified,free-plan,"A full year of the Framer Pro plan at no cost, stated by Framer as a $360 saving, for pre-seed or seed startups backed by a Framer approved partner that have not used Framer before.",True,360,USD,12,required-hard,,,False,,,,,self-serve-form,,,,unstated,https://www.framer.com/startups/,https://www.framer.com/startups/,2026-09-14,tayyabakmal1
freshworks-startup-program,Freshworks,Freshworks Startup Program,support,active-partner-only,partially-verified,discount,"Partner-referred discount on the Pro plan of Freshworks products, at percentages set in each startup's Service Order Form, claimable within one year of signup; capped at 30 agents per product.",False,,,12,required-hard,,,,,,,,partner-code,,,,unstated,https://www.freshworks.com/company/partners/startup-program/,https://www.freshworks.com/assets/resources/Freshworks-for-Startups_Terms-&-Conditions.pdf,2026-09-14,tayyabakmal1
front-startups,Front,Front for Startups,support,unverified,needs-manual-verification,discount,"No Front startup program page currently exists: the former program URL now permanently redirects to Front's general pricing page, which contains no startup offer.",False,,,,,,,,,,,,,,,,unstated,https://front.com/pricing,https://front.com/pricing,2026-09-14,tayyabakmal1
github-for-startups,GitHub,GitHub for Startups,devtools,active-partner-only,verified,credit,"$10,000 in flexible GitHub credits applied to an Enterprise account for up to 12 months, usable across GitHub Enterprise, Copilot, Advanced Security, Actions and other metered offerings; only available through an affiliated partner.",True,10000,USD,12,required-hard,True,,False,False,,,,partner-code,,,,unstated,https://github.com/enterprise/startups/partners,https://github.com/enterprise/startups,2026-09-14,tayyabakmal1
gitlab-for-startups,GitLab,GitLab for Startups,devtools,active-self-serve,verified,discount,"Two-tier, two-year program for new customers: Seed stage gets a free Ultimate licence for year one and 50% off in year two; Series A/B gets 50% off in year one and 25% off in year two. All tiers capped at 20 seats.",False,,,12,none,True,,,,,5000000,,self-serve-form,False,,,unstated,https://about.gitlab.com/solutions/startups/join/,https://gitlab.com/gitlab-com/content-sites/handbook/-/raw/58a525ef350e2e865c8208d53a90798e94df4e24/content/handbook/marketing/developer-relations/community-programs/startups-program/_index.md,2026-09-16,tayyabakmal1
google-cloud-google-for-startups-cloud-program,Google Cloud,Google for Startups Cloud Program,cloud,active-self-serve,verified,credit,"Start tier: up to $2,000 USD in credits over a year for startups not yet backed by equity funding. Scale tier: year-one Google Cloud and Firebase usage covered with credits up to $100,000, plus 20% of year-two usage covered up to an additional $100,000.",True,100000,USD,12,,False,,True,False,,,5,self-serve-form,,,,unstated,https://cloud.google.com/startup/apply,https://startup.google.com/cloud/,2026-09-14,tayyabakmal1
grafana-labs-startup-program,Grafana Labs,Grafana Labs Startup Program,devtools,unverified,verified,credit,"$100,000 in credits usable on any Grafana Cloud service for 12 months or until the next funding round, plus Enterprise data source plugins and 24x7 support, followed by a guaranteed 20% list-price discount.",True,100000,USD,12,none,,,,,,10000000,,self-serve-form,False,,,unstated,https://grafana.com/blog/grafana-labs-startup-program/,https://grafana.com/blog/grafana-labs-startup-program/,2026-09-14,tayyabakmal1
groq-for-startups,Groq,Groq for Startups,ai,no-program,verified,credit,No Groq startup-credits program page is currently reachable; Groq's official billing FAQ documents only occasional promotional credits tied to hackathons and special events.,False,,,,,,,,,,,,,,,,unstated,https://groq.com/groq-for-startups,https://console.groq.com/docs/billing-faqs,2026-09-16,tayyabakmal1
help-scout-for-startups,Help Scout,Help Scout for Startups,support,active-self-serve,verified,discount,Six months free on the Help Scout Plus plan for new customers that are incorporated tech startups under two years old with under $1 million ARR.,False,,,6,none,,,,,,,2,self-serve-form,False,,,unstated,https://www.helpscout.com/startups/,https://www.helpscout.com/startups/,2026-09-16,tayyabakmal1
hubspot-for-startups,HubSpot,HubSpot for Startups,marketing,active-partner-only,verified,discount,"Tiered discount on net-new Professional or Enterprise HubSpot products: 90% off year one for VC-funded or partner-affiliated startups, or 30% off year one via approved entrepreneurial organizations, tapering in later years.",False,,,,required-soft,,,,True,,,,self-serve-form,,,,unstated,https://app.hubspot.com/signup-hubspot/hubspot-for-startups,https://www.hubspot.com/startups,2026-09-16,tayyabakmal1
intercom-early-stage-program,Intercom,Early Stage Program,support,active-self-serve,verified,discount,"Tiered discount on the Intercom helpdesk from $33/month: 93% off in year one, 50% off in year two and 25% off in year three, with 300 free Fin outcomes and 15 Fin qualifications per month in year one.",True,,,36,none,,,,,,10000000,,self-serve-form,,,,unstated,https://www.intercom.com/signup?solution_id=26,https://www.intercom.com/early-stage,2026-09-16,tayyabakmal1
jetbrains-startup-program,JetBrains,JetBrains Startup Program,devtools,active-self-serve,needs-manual-verification,discount,"50% off purchases of up to 10 IDE subscriptions, 10 paid team or learning tool subscriptions and 10 JetBrains AI subscriptions, available over a five-year enrolment period.",False,,,60,improves-offer,,,,,,,5,self-serve-form,,,,unstated,https://www.jetbrains.com/shop/eform/startup/,https://www.jetbrains.com/startups/,2026-09-16,tayyabakmal1
lambda-nvidia-inception-cloud-credits,Lambda,Exclusive offer for NVIDIA Inception and Connect members,ai,active-partner-only,verified,credit,"$7,500 in Lambda cloud credits toward on-demand NVIDIA GPU instances on Lambda's Public Cloud, limited to members of the NVIDIA Inception or NVIDIA Connect programs, one grant per company.",True,7500,USD,,required-hard,,,,,,,,,,AU;CA;CL;eu;IS;IL;JP;NZ;NO;PR;SG;ZA;KR;CH;TW;TR;AE;GB;US,LT,asserted,https://lambda.ai/nvidia-inception,https://lambda.ai/nvidia-inception,2026-09-14,tayyabakmal1
langchain-langsmith-for-startups,LangChain,LangSmith for Startups,ai,active-self-serve,verified,credit,Two tiers: Build gives discounted seat pricing to first-time customers with under $10M raised; Scale gives $10K in LangSmith credits valid for 1 year to Series A or earlier startups backed by a LangChain premier VC partner.,True,10000,USD,12,tiered,True,,False,,25000,10000000,,self-serve-form,,,,unstated,https://www.langchain.com/startups,https://www.langchain.com/startups,2026-09-14,tayyabakmal1
launchdarkly-startups,LaunchDarkly,No startup program page found,devtools,unverified,needs-manual-verification,free-plan,"No LaunchDarkly startup credits or startup discount program page could be found on launchdarkly.com; the pricing page advertises only a free Developer plan and a 14-day trial, neither framed as a startup program.",False,,,,,,,,,,,,,,,,unstated,https://launchdarkly.com/pricing/,https://launchdarkly.com/pricing/,2026-09-14,tayyabakmal1
linear-for-startups,Linear,Linear for startups,productivity,active-partner-only,verified,free-plan,"Free access to Linear's Business plan for startups affiliated with an official Linear partner; valid only for non-paying Linear users with fewer than 50 employees, redeemed through a partner link or code.",False,,,,required-hard,,False,,False,,,,partner-code,,,,unstated,https://linear.app/startups,https://linear.app/startups,2026-09-14,tayyabakmal1
mercury-perks,Mercury,Perks,ecosystem,active-self-serve,verified,bundle,"Catalogue of 305 third-party partner offers (credits and discounts) available to Mercury account holders, grouped into six themed bundles. Listed examples include AWS ""$5k credits"", GitHub ""$10,000 in GitHub credits"", Notion ""6 months free + unlimited AI"".",False,,,,,,,,,,,,in-product,,,,unstated,https://mercury.com/perks,https://mercury.com/perks,2026-09-16,tayyabakmal1
microsoft-for-startups,Microsoft,Microsoft for Startups,cloud,active-self-serve,verified,credit,"Azure credits for early-stage B2B startups in two paths: a no-referral path starting at $1,000 for 90 days, and an investor-referral path that Microsoft's FAQ says most startups begin at $100,000, with the landing page advertising up to $150,000.",True,150000,USD,24,tiered,False,False,True,False,,,,self-serve-form,,,,inferred,https://www.microsoft.com/en-us/startups,https://www.microsoft.com/en-us/startups,2026-09-14,tayyabakmal1
miro-startup-program,Miro,Miro Startup Program,productivity,active-self-serve,verified,credit,"A one-time Miro account credit: $1,000 for startups connected to a Miro Startup Program partner, or $500 for individual startups applying directly. One credit per startup.",True,1000,USD,,tiered,,,,,,,,self-serve-form,,,,unstated,https://miro.com/startups/apply/,https://help.miro.com/hc/en-us/articles/360014912819-Miro-Startup-Program,2026-09-14,tayyabakmal1
mixpanel-for-startups,Mixpanel,Mixpanel for Startups,analytics,active-self-serve,verified,free-plan,"One year free on the Mixpanel Startup plan including the full product suite, with 1 billion events and 1 million Session Replays; Mixpanel states the package is worth $145,000.",True,145000,USD,12,none,,False,,False,,8000000,5,self-serve-form,False,,,unstated,https://mixpanel.com/startups-apply/,https://mixpanel.com/startups/,2026-09-14,tayyabakmal1
modal-for-startups,Modal,Modal for Startups,ai,active-amount-undisclosed,verified,credit,"Free GPU credits (quantity not published) plus engineering and GTM support, in two VC-funding-gated tiers. Credits are a one-time grant per tier and applicants must be new to Modal.",False,,,,tiered,True,,False,True,1000000,,,self-serve-form,,,,unstated,https://modal.com/startups#apply,https://modal.com/startups,2026-09-16,tayyabakmal1
mongodb-for-startups,MongoDB,MongoDB for Startups,databases,active-amount-undisclosed,verified,credit,"Atlas credits and Voyage AI tokens delivered as a promo code, in four stage-based tiers (Inspire, Grow, Innovate, Scale). No credit figure is published for any tier.",False,,,12,improves-offer,,,,,,,7,self-serve-form,,,,unstated,https://www.mongodb.com/solutions/startups,https://www.mongodb.com/solutions/startups,2026-09-16,tayyabakmal1
nebius-for-startups,Nebius,Nebius for Startups,cloud,active-partner-only,verified,credit,"Compute credits and discounts for AI startups, available only through Nebius venture capital partner funds. No credit amount is published.",False,,,,required-hard,True,,False,True,5000000,,5,partner-code,,,,unstated,https://nebius.com/startups,https://nebius.com/startups,2026-09-14,tayyabakmal1
neon-databricks-startup-program,Neon (Databricks),Neon and Databricks Startup Program,databases,active-self-serve,verified,credit,"Two tiers of credits valid 12 months: up to $1,000 in Neon credits for self-funded startups with under $1M raised, and up to $200K in Neon and Databricks credits for VC-backed startups with at least $1M raised or recognized-accelerator participants.",True,200000,USD,12,tiered,,False,True,False,,,,self-serve-form,False,,,unstated,https://neon.com/startups,https://neon.com/startups,2026-09-14,tayyabakmal1
new-relic-for-startups,New Relic,New Relic for Startups,devtools,active-amount-undisclosed,verified,free-plan,"Free access to the New Relic platform for five users with a monthly data-ingest allowance, plus assigned engineering support; no dollar value, ingest figure, or duration is published.",False,,,,,,,,,,,,self-serve-form,,,,unstated,https://newrelic.com/startups,https://newrelic.com/startups,2026-09-16,tayyabakmal1
notion-for-startups,Notion,Notion for Startups,productivity,active-self-serve,verified,free-plan,"Free months of the Notion Business plan with Notion AI included: 6 months for startups affiliated with select Notion partners, 3 months for those with a business website and company domain email, or 1 month for under-10-employee companies or incomplete applications.",False,,,6,improves-offer,,,,,,,,self-serve-form,,,,unstated,https://www.notion.com/startups-apply,https://www.notion.com/startups,2026-09-16,tayyabakmal1
nvidia-inception,NVIDIA,NVIDIA Inception,ecosystem,active-self-serve,verified,bundle,"Free membership bundling free cloud credits from NVIDIA and partners, preferred pricing on select NVIDIA hardware and software, free self-paced technical courses, and VC network exposure. No dollar amounts published.",False,,,,none,False,,,,,,10,self-serve-form,False,,,unstated,https://www.nvidia.com/en-us/startups/,https://www.nvidia.com/en-us/startups/,2026-09-16,tayyabakmal1
